Date,2020,2019
2020-03-01,2280522,2301439
2020-03-02,2089641,2257920
2020-03-03,1736393,1979558
2020-03-04,1877401,2143619
2020-03-05,2130015,2402692
2020-03-06,2198517,2543689
2020-03-07,1844811,2156262
2020-03-08,2119867,2485430
2020-03-09,1909363,2378673
2020-03-10,1617220,2122898
2020-03-11,1702686,2187298
2020-03-12,1788456,2503924
2020-03-13,1714372,2634215
2020-03-14,1485553,2274658
2020-03-15,1519192,2545742
2020-03-16,1257823,2465709
2020-03-17,953699,2177929
2020-03-18,779631,2320885
2020-03-19,620883,2513231
2020-03-20,593167,2559307
2020-03-21,548132,2227181
2020-03-22,454516,2542643
2020-03-23,331431,2434370
2020-03-24,279018,2151913
2020-03-25,239234,2273811
2020-03-26,203858,2487162
2020-03-27,199644,2538384
2020-03-28,184027,2172920
2020-03-29,180002,2510294
2020-03-30,154080,2360053
2020-03-31,146348,2026256
2020-04-01,136023,2151626
2020-04-02,124021,2411500
2020-04-03,129763,2476884
2020-04-04,118302,2011715
2020-04-05,122029,2462929
2020-04-06,108310,2384091
2020-04-07,97130,2091056
2020-04-08,94931,2229276
2020-04-09,104090,2487398
2020-04-10,108977,2590499
2020-04-11,93645,2059142
2020-04-12,90510,2446801
2020-04-13,102184,2484580
2020-04-14,87534,2208688
2020-04-15,90784,2317381
2020-04-16,95085,2616158
2020-04-17,106385,2457133
2020-04-18,97236,1988205
2020-04-19,105382,2356802
2020-04-20,99344,2594171
2020-04-21,92859,2227475
2020-04-22,98968,2254209
2020-04-23,111627,2526961
2020-04-24,123464,2521897
2020-04-25,114459,1990464
2020-04-26,128875,2506809
2020-04-27,119854,2412770
2020-04-28,110913,2102068
2020-04-29,119629,2256442
2020-04-30,154695,2499461
2020-05-01,171563,2546029
2020-05-02,134261,1968278
2020-05-03,170254,2512598
2020-05-04,163692,2470969
2020-05-05,130601,2106597
2020-05-06,140409,2270662
2020-05-07,190863,2555342
2020-05-08,215444,2602631
2020-05-09,169580,1985942
2020-05-10,200815,2419114
2020-05-11,215645,2512315
2020-05-12,163205,2191387
2020-05-13,176667,2343675
2020-05-14,234928,2611324
2020-05-15,250467,2664549
2020-05-16,193340,2091116
2020-05-17,253807,2620276
2020-05-18,244176,2615691
2020-05-19,190477,2312727
2020-05-20,230367,2472123
2020-05-21,318449,2673635
2020-05-22,348673,2792670
2020-05-23,253190,2124825
2020-05-24,267451,2070716
2020-05-25,340769,2512237
2020-05-26,264843,2453649
2020-05-27,261170,2269035
2020-05-28,321776,2485770
2020-05-29,327133,2570613
2020-05-30,268867,2117180
2020-05-31,352947,2555578
2020-06-01,353261,2499002
2020-06-02,267742,2247421
2020-06-03,304436,2370152
2020-06-04,391882,2623947
2020-06-05,419675,2649808
2020-06-06,353016,2225952
2020-06-07,441255,2669860
2020-06-08,430414,2644981
2020-06-09,338382,2433189
2020-06-10,386969,2509058
2020-06-11,502209,2675686
2020-06-12,519304,2727860
2020-06-13,437119,2318946
2020-06-14,544046,2642083
2020-06-15,534528,2699580
2020-06-16,417924,2466574
2020-06-17,441829,2552395
2020-06-18,576514,2728786
2020-06-19,587908,2772903
2020-06-20,507129,2378559
2020-06-21,590456,2719643
2020-06-22,607540,2716428
2020-06-23,471421,2506510
2020-06-24,494826,2594661
2020-06-25,623624,2711222
2020-06-26,632984,2730515
2020-06-27,546310,2368846
2020-06-28,633810,2632030
2020-06-29,625235,2455536
2020-06-30,500054,2347767
2020-07-01,626516,2547889
2020-07-02,764761,2088760
2020-07-03,718988,2184253
2020-07-04,466669,2345846
2020-07-05,732123,2795369
2020-07-06,755555,2748718
2020-07-07,641761,2506859
2020-07-08,632498,2515902
2020-07-09,709653,2608209
2020-07-10,711124,2716812
2020-07-11,656284,2312178
2020-07-12,754545,2669717
2020-07-13,697985,2615115
2020-07-14,540268,2447177
2020-07-15,589285,2522563
2020-07-16,706164,2716828
2020-07-17,720378,2776960
2020-07-18,646654,2396462
2020-07-19,747422,2727355
2020-07-20,695330,2635312
2020-07-21,530421,2499460
2020-07-22,570951,2561911
2020-07-23,704815,2705399
2020-07-24,724770,2732770
2020-07-25,649027,2364925
2020-07-26,751205,2700723
2020-07-27,700043,2613346
2020-07-28,536756,2438967
2020-07-29,573200,2542365
2020-07-30,718310,2742882
2020-07-31,767320,2730936
2020-08-01,709033,2367967
2020-08-02,799861,2688640
2020-08-03,737235,2619406
2020-08-04,543601,2387115
2020-08-05,595739,2430094
2020-08-06,743599,2707986
2020-08-07,762547,2725000
2020-08-08,683212,2290340
2020-08-09,831789,2647897
2020-08-10,761861,2567986
2020-08-11,559420,2306829
2020-08-12,590749,2391906
2020-08-13,761821,2602446
2020-08-14,783744,2627564
2020-08-15,689895,2171962
2020-08-16,862949,2584444
2020-08-17,773319,2576965
2020-08-18,565946,2247446
2020-08-19,586718,2306838
2020-08-20,772380,2533184
2020-08-21,764468,2559244
2020-08-22,625822,2039233
2020-08-23,841806,2493162
2020-08-24,726788,2358007
2020-08-25,523186,2015088
2020-08-26,540043,2188688
2020-08-27,721060,2561109
